260 285 71  0.4235 2.93904628057888E-08
261 285 71  0.29 2.33281908747991E-07
262 289 72  0.2916 2.1006750001519E-10
263 289 72  0.2919 3.99122701717528E-09
264 289 72  0.292 4.41041757923436E-08
265 289 72  0.2929 3.26499492929076E-07
266 293 73  0.2971 3.81521610338348E-10
267 293 73  0.3039 6.41316548400649E-09
268 293 73  0.2954 6.52669278661248E-08
269 293 73  0.3165 4.51686269857733E-07
270 297 74  0.3222 6.73161322561018E-10
271 297 74  0.2981 1.01308303307176E-08
272 297 74  0.32 9.52927149278405E-08
273 297 74  0.2995 6.1789069432033E-07
274 301 75  0.3013 1.15793097527693E-09
275 301 75  0.3031 1.57481056767519E-08
276 301 75  0.3025 1.3733392140325E-07
277 305 76  0.3032 8.46681486664878E-11
278 305 76  0.3048 1.94726123926757E-09
279 305 76  0.432 2.41075438873626E-08
280 305 76  0.3065 1.95450038039815E-07
281 309 77  0.3067 1.61406265155012E-10
282 309 77  0.3069 3.20841782391543E-09
283 309 77  0.3088 3.63662354097079E-08
284 309 77  0.3067 2.74797891125583E-07
285 313 78  0.3093 2.96937024220937E-10
286 313 78  0.3096 5.18820107335617E-09
287 313 78  0.3215 5.40889784293131E-08
288 313 78  0.3105 3.81842981677468E-07
289 317 79  0.3226 5.29570914782179E-10
290 317 79  0.3122 8.24459839218611E-09
291 317 79  0.3456 7.9360393728222E-08
292 317 79  0.3148 5.24587696120707E-07
293 321 80  0.3159 9.19276378548066E-10
294 321 80  0.3148 1.28883028105178E-08
295 321 80  0.3155 1.14917396442174E-07
296 325 81  0.339 6.39240118687328E-11
297 325 81  0.4389 1.55822370559028E-09
298 325 81  0.3189 1.98360665824011E-08
299 325 81  0.3299 1.64303162216254E-07
300 329 82  0.3223 1.23906735886992E-10
301 329 82  0.3214 2.58561868822742E-09
302 329 82  0.3214 3.00778562533257E-08
303 329 82  0.322 2.32041873522027E-07
304 333 83  0.3244 2.31139689532373E-10
305 333 83  0.3254 4.20808404040522E-09
306 333 83  0.3223 4.49600338725768E-08
307 333 83  0.3308 3.23833650221743E-07
308 337 84  0.3266 4.16983771242363E-10
309 337 84  0.3277 6.7271049449891E-09
310 337 84  0.3271 6.62861019947884E-08
311 337 84  0.3262 4.46768557589467E-07
312 341 85  0.3537 7.30827759226051E-10
313 341 85  0.334 1.05753470962782E-08
314 341 85  0.4508 9.643641992975E-08
315 341 85  0.3299 6.09555126403708E-07
316 345 86  0.3343 1.24906948477907E-09
317 345 86  0.3323 1.63635549845489E-08
318 345 86  0.3441 1.38508712049546E-07
319 349 87  0.3357 9.49412279278862E-11
320 349 87  0.3361 2.08774845690494E-09
321 349 87  0.3366 2.49401461723259E-08
322 349 87  0.345 1.96478087557452E-07
323 353 88  0.3923 1.79791730412872E-10
324 353 88  0.3404 3.42012026099608E-09
325 353 88  0.3402 3.74653089433095E-08
326 353 88  0.3381 2.75378302549178E-07
327 357 89  0.3419 3.28377403491986E-10
328 357 89  0.3417 5.50049725191414E-09
329 357 89  0.3443 5.55016003723346E-08
330 357 89  0.4618 3.81499751546034E-07
331 361 90  0.3473 5.81454409986374E-10
332 361 90  0.3447 8.69595783765777E-09
333 361 90  0.3428 8.11224129234416E-08
334 361 90  0.3435 5.22605250691192E-07
335 365 91  0.3558 1.0024159127589E-09
336 365 91  0.347 1.35276490768891E-08
337 365 91  0.36 1.17039567360218E-07
338 369 92  0.3498 7.25331207295807E-11
339 369 92  0.3516 1.68813677648827E-09
340 369 92  0.3513 2.07235971322635E-08
341 369 92  0.3508 1.6675081543337E-07
342 373 93  0.354 1.39630427830793E-10
343 373 93  0.3531 2.78409564234469E-09
344 373 93  0.3625 3.12848589310408E-08
345 373 93  0.4742 2.34706375240273E-07
346 377 94  0.3567 2.58454205690027E-10
347 377 94  0.3578 4.50508365839817E-09
348 377 94  0.3563 4.65668780618389E-08
349 377 94  0.3563 3.26494742360166E-07
350 381 95  0.3767 4.62681049856781E-10
351 381 95  0.3695 7.16287793534179E-09
352 381 95  0.3603 6.8377784175411E-08
353 381 95  0.3903 4.49043185742609E-07
354 385 96  0.3629 8.04980563672741E-10
355 385 96  0.364 1.12026674959445E-08
356 385 96  0.3604 9.90943717496441E-08
357 389 97  0.3646 5.51940378382439E-11
358 389 97  0.3749 1.36633588598485E-09
359 389 97  0.3661 1.72498256676409E-08
360 389 97  0.4868 1.41797446163621E-07
361 393 98  0.3689 1.08169623829187E-10
362 393 98  0.3675 2.26901396401669E-09
363 393 98  0.3668 2.61689586306016E-08
364 393 98  0.3694 2.00425984413817E-07
365 397 99  0.3818 2.03164545373794E-10
366 397 99  0.4037 3.69459493871002E-09
367 397 99  0.3715 3.91370751550284E-08
368 397 99  0.3732 2.79948855699477E-07
369 401 100  0.374 3.68012807821253E-10
370 401 100  0.3753 5.90815275298378E-09
371 401 100  0.3729 5.77323586201751E-08
372 401 100  0.3742 3.86554885919107E-07
373 405 101  0.3786 6.46542879360537E-10
374 405 101  0.5017 9.29030478687058E-09
375 405 101  0.3753 8.40399548920997E-08
376 405 101  0.376 5.2785474047304E-07
377 409 102  0.3996 1.10647708584798E-09
378 409 102  0.3907 1.4378694613955E-08
379 409 102  0.3805 1.20775812369678E-07
380 413 103  0.3835 8.35162151982643E-11
381 413 103  0.3805 1.85070014827003E-09
382 413 103  0.3835 2.19206995149303E-08
383 413 103  0.4146 1.71429109168496E-07
384 417 104  0.3846 1.59382084868775E-10
385 417 104  0.3959 3.03282937405624E-09
386 417 104  0.3856 3.29390958894071E-08
387 417 104  0.3896 2.40422053937091E-07
388 421 105  0.5089 2.92423159920734E-10
389 421 105  0.3897 4.87837758951663E-09
390 421 105  0.408 4.88124280589393E-08
391 421 105  0.3863 3.33287311722537E-07
392 425 106  0.3918 5.19121294376881E-10
393 425 106  0.4023 7.71297981642823E-09
394 425 106  0.3935 7.13711950865167E-08
395 425 106  0.3899 4.5685910523878E-07
396 429 107  0.4279 8.96174819360039E-10
397 429 107  0.3959 1.19991446198217E-08
398 429 107  0.4027 1.03011533707453E-07
399 433 108  0.3968 6.42057832623636E-11
400 433 108  0.402 1.51019765235345E-09
401 433 108  0.5174 1.83832759853264E-08
402 433 108  0.3953 1.46826152977818E-07
403 437 109  0.3999 1.24693221742641E-10
404 437 109  0.4302 2.49122848837055E-09
405 437 109  0.3998 2.77546801128233E-08
406 437 109  0.4004 2.06753526428353E-07
407 441 110  0.4029 2.31995022212826E-10
408 441 110  0.4009 4.03123518327862E-09
409 441 110  0.4044 4.13181170246498E-08
410 441 110  0.4007 2.8774258019713E-07
411 445 111  0.4147 4.16490754053416E-10
412 445 111  0.4061 6.40894198861111E-09
413 445 111  0.4092 6.06815975775983E-08
414 445 111  0.5211 3.9593384637328E-07
415 449 112  0.4297 7.25681660046317E-10
416 449 112  0.4075 1.00223933938306E-08
417 449 112  0.4377 8.79599970387289E-08
418 453 113  0.4131 4.90993892532645E-11
419 453 113  0.4126 1.23251107110157E-09
420 453 113  0.4212 1.54309158876434E-08
421 453 113  0.4111 1.25896227607318E-07
422 457 114  0.4167 9.72063073740631E-11
423 457 114  0.4222 2.04711807265102E-09
424 457 114  0.4149 2.34080456269084E-08
425 457 114  0.4145 1.7799937946992E-07
426 461 115  0.5339 1.83650388077864E-10
427 461 115  0.4147 3.33296555842376E-09
428 461 115  0.4172 3.50071950579825E-08
429 461 115  0.4149 2.48698797385484E-07
430 465 116  0.4204 3.33733479781209E-10
431 465 116  0.4628 5.32871126007357E-09
432 465 116  0.4201 5.16412925038246E-08
433 465 116  0.4199 3.43514417658385E-07
434 469 117  0.4219 5.87262845859088E-10
435 469 117  0.4232 8.37702297052339E-09
436 469 117  0.4219 7.51778153240944E-08
437 473 118  0.4271 3.73164758954201E-11
438 473 118  0.5441 1.00570516135967E-09
439 473 118  0.4223 1.29620038213371E-08
440 473 118  0.4253 1.08050452971173E-07
441 477 119  0.4288 7.54485799353332E-11
442 477 119  0.43 1.68235557745923E-09
443 477 119  0.4414 1.97566870052095E-08
444 477 119  0.4429 1.53386751834425E-07
445 481 120  0.4311 1.44968517467402E-10
446 481 120  0.4607 2.75646023318737E-09
447 481 120  0.4327 2.96823514361645E-08
448 481 120  0.4344 2.15152368978296E-07
449 485 121  0.4391 2.66959386463445E-10
450 485 121  0.5619 4.43239352897184E-09
451 485 121  0.4339 4.39808374432894E-08
452 485 121  0.4356 2.98311068486508E-07
453 489 122  0.438 4.74783989970207E-10
454 489 122  0.4382 7.00520624048718E-09
455 489 122  0.5647 6.43016683690663E-08
456 489 122  0.4397 4.08997314997888E-07
457 493 123  0.4414 8.20243621755042E-10
458 493 123  0.4422 1.08939478155856E-08
459 493 123  0.4965 9.28045214147153E-08
460 497 124  0.4445 5.82489493310784E-11
461 497 124  0.575 1.38239495989847E-09
462 497 124  0.4439 1.66842946618538E-08
463 497 124  0.4417 1.32277731731544E-07
464 501 125  0.4466 1.14027327427481E-10
465 501 125  0.4752 2.27985302388409E-09
466 501 125  0.4479 2.51820194370835E-08
467 501 125  0.4474 1.86272752573798E-07
468 505 126  0.451 2.13060648037009E-10
469 505 126  0.4493 3.68765835045504E-09
470 505 126  0.4486 3.74788320249877E-08
471 505 126  0.4704 2.59254175247043E-07
472 509 127  0.5712 3.83312772558368E-10
473 509 127  0.451 5.85986984070371E-09
474 509 127  0.4529 5.50318685571489E-08
475 509 127  0.4743 3.56763096720175E-07
476 513 128  0.4813 6.68454053106987E-10
477 513 128  0.4565 9.15924439345989E-09
478 513 128  0.4544 7.97579016060004E-08
479 517 129  0.4581 4.46859090574191E-11
480 517 129  0.457 1.13546029730594E-09
481 517 129  0.4585 1.40954170856936E-08
482 517 129  0.4779 1.1414318387461E-07
483 521 130  0.613 8.93029245726399E-11
484 521 130  0.4591 1.88539913874328E-09
485 521 130  0.46 2.13732285860178E-08
486 521 130  0.4608 1.61368694973594E-07
487 525 131  0.4635 1.69571257654705E-10
488 525 131  0.4637 3.06817056253794E-09
489 525 131  0.4798 3.19523326310714E-08
490 525 131  0.4639 2.25450876404455E-07
491 529 132  0.466 3.08915573274779E-10
492 529 132  0.4703 4.90252843634077E-09
493 529 132  0.4785 4.711991384208E-08
494 529 132  0.5877 3.11394963130171E-07
495 533 133  0.4707 5.441505411907E-10
496 533 133  0.4695 7.70246181127756E-09
497 533 133  0.4678 6.85773799127148E-08
498 537 134  0.4912 3.40308519317963E-11
499 537 134  0.4742 9.32036875450427E-10
500 537 134  0.4719 1.19114451365259E-08
501 537 134  0.4732 9.85416125169403E-08
