223 245 61  0.2607 3.36629919683621E-07
224 249 62  0.2631 3.56488763646799E-10
225 249 62  0.2654 6.24090760426168E-09
226 249 62  0.2622 6.56435671979939E-08
227 249 62  0.2721 4.66714308001823E-07
228 253 63  0.2661 6.32568775204121E-10
229 253 63  0.268 9.90174577976557E-09
230 253 63  0.2679 9.61352395517596E-08
231 253 63  0.2659 6.39777940971205E-07
232 257 64  0.2699 1.09426855932332E-09
233 257 64  0.2702 1.54558477747125E-08
234 257 64  0.2694 1.38952354389783E-07
235 261 65  0.2725 7.71688479158387E-11
236 261 65  0.282 1.85034468620157E-09
237 261 65  0.2736 2.37535122842651E-08
238 261 65  0.2719 1.9830484592136E-07
239 265 66  0.2765 1.47780409586008E-10
240 265 66  0.387 3.06482243554799E-09
241 265 66  0.274 3.59667989609025E-08
242 265 66  0.275 2.79555945224063E-07
243 269 67  0.2965 2.73463870050806E-10
244 269 67  0.2782 4.98090227389593E-09
245 269 67  0.2784 5.36865721941002E-08
246 269 67  0.2799 3.89447162775901E-07
247 273 68  0.2805 4.9074712877248E-10
248 273 68  0.2812 7.95292157157331E-09
249 273 68  0.2816 7.90394004746832E-08
250 273 68  0.2797 5.36343633142305E-07
251 277 69  0.2841 8.57156144711742E-10
252 277 69  0.3008 1.24886257208494E-08
253 277 69  0.2845 1.14826926402125E-07
254 277 69  0.2846 7.30496746333231E-07
255 281 70  0.2858 1.4616235642673E-09
256 281 70  0.2877 1.93036451082406E-08
257 281 70  0.2877 1.6468765047343E-07
258 285 71  0.2903 1.11906629661152E-10
259 285 71  0.2889 2.43916948497681E-09
260 285 71  0.4103 2.93904628057888E-08
261 285 71  0.2892 2.33281908747991E-07
262 289 72  0.3007 2.1006750001519E-10
263 289 72  0.2922 3.99122701717528E-09
264 289 72  0.293 4.41041757923436E-08
265 289 72  0.2919 3.26499492929076E-07
266 293 73  0.2948 3.81521610338348E-10
267 293 73  0.2951 6.41316548400649E-09
268 293 73  0.2945 6.52669278661248E-08
269 293 73  0.2946 4.51686269857733E-07
270 297 74  0.3237 6.73161322561018E-10
271 297 74  0.2973 1.01308303307176E-08
272 297 74  0.2967 9.52927149278405E-08
273 297 74  0.2974 6.1789069432033E-07
274 301 75  0.3004 1.15793097527693E-09
275 301 75  0.3005 1.57481056767519E-08
276 301 75  0.3019 1.3733392140325E-07
277 305 76  0.3029 8.46681486664878E-11
278 305 76  0.3049 1.94726123926757E-09
279 305 76  0.4168 2.41075438873626E-08
280 305 76  0.3046 1.95450038039815E-07
281 309 77  0.3063 1.61406265155012E-10
282 309 77  0.3061 3.20841782391543E-09
283 309 77  0.3056 3.63662354097079E-08
284 309 77  0.3058 2.74797891125583E-07
285 313 78  0.3112 2.96937024220937E-10
286 313 78  0.3108 5.18820107335617E-09
287 313 78  0.3113 5.40889784293131E-08
288 313 78  0.3093 3.81842981677468E-07
289 317 79  0.3131 5.29570914782179E-10
290 317 79  0.3113 8.24459839218611E-09
291 317 79  0.3118 7.9360393728222E-08
292 317 79  0.3143 5.24587696120707E-07
293 321 80  0.3155 9.19276378548066E-10
294 321 80  0.3163 1.28883028105178E-08
295 321 80  0.3232 1.14917396442174E-07
296 325 81  0.3173 6.39240118687328E-11
297 325 81  0.4515 1.55822370559028E-09
298 325 81  0.32 1.98360665824011E-08
299 325 81  0.3188 1.64303162216254E-07
